,A,B,C,D,E
1990-12-31,0.32221556968526943,-0.30698977515918807,-0.9198366983558945,0.7271606675662828,-1.0159213361652335
1991-12-31,-0.6736665060131308,0.2293886353898117,0.28607801721067516,-0.1531867832827586,0.6341989085868024
1992-12-31,1.5264626998066855,-0.25915929957726314,0.8727157298330575,-1.0907476143355161,1.4500661403313884
1993-12-31,-0.2535150284814576,0.0011562661132741383,-0.4645878654365232,-0.5237013673425563,-0.5534573962851818
1994-12-31,-0.04204923055410765,-0.6514333396498663,1.1091711172728487,-0.28352038451708006,1.310457111264015
1995-12-31,-0.6634366652360043,-0.6266560538107013,0.20250713828256367,-1.4907983604062218,-1.4171942259038994
1996-12-31,-0.525215826873619,0.26752183351420017,-2.0944301938546666,0.7503289432883836,0.12372538060951001
1997-12-31,0.2873210086100602,-1.6991711906342901,0.09714688702066278,-0.3092779332570675,-0.5383938313854425
1998-12-31,0.1781603820557095,-0.37548441536531896,0.5083129037919963,-0.2979024922688769,0.4855373446949284
1999-12-31,0.104957556431399,-0.12436012245197743,-1.4419865067288713,-0.3384127773428321,-0.2038645037838116
2000-12-31,0.2099677059415247,-2.5074374122912753,0.42025775774508134,-0.6292190238709653,-0.07065097414251582
2001-12-31,0.47772462390771003,-0.9597831577176758,2.019960808610625,-1.623156565862837,-0.6137588153226037
2002-12-31,1.0168527013621043,-2.0469404762704273,-2.262874288847641,-2.1672190299376886,-0.490168864787016
2003-12-31,0.3150093310950381,-0.5158264801966431,1.1873322917280478,-0.18335550580424398,0.04786091634131774
2004-12-31,1.613493847770762,-0.29906951815485705,0.4095368724172001,-0.21271399705985458,0.11251656763151607
2005-12-31,0.12311747222246718,-0.030829596781723503,-0.32035318969528737,1.500155337238101,-0.04442801627845944
2006-12-31,-0.7616765630610444,-0.41236563498818835,0.4689119257823887,-0.6883152028888547,1.6204791715829032
2007-12-31,2.548781180800821,1.0444549308765876,0.9243749590875099,-1.224645718486509,-0.26820524288433845
2008-12-31,0.41649922880595036,0.7250101715672556,0.7777666843431373,-0.23531566694831976,-1.689405117591723
2009-12-31,-0.44962664587389256,-0.12714425927470022,0.2832153698019845,0.365767288483333,-0.7482029110441397
2010-12-31,-0.12493375205865379,0.5394656153523203,-0.6784116456288591,-1.0839359103887154,0.6522079393940482
2011-12-31,1.9908316973873308,0.929971363384944,-0.04364045194037875,0.16532396396034826,0.5112557788703798
2012-12-31,-0.26451891259970484,0.4771405813585426,0.9409046303719096,-0.9538273185700179,-0.6523081866695543
2013-12-31,-1.1811349818165369,-0.3581173145548903,-1.5011697790530223,-2.9329264973400706,-0.09481887146120882
2014-12-31,0.8658071108815037,0.6775546497482748,0.17859032495646784,-0.788692751999048,-3.0384508625998006
2015-12-31,1.1749848642602427,-0.21087810369918739,1.2288746884311135,-1.3421081331616909,-2.50264080624248
2016-12-31,3.0005202547537477,0.621864472680721,-0.34452525171268483,2.225305575147105,0.050706066338498786
2017-12-31,-0.769475295085819,-0.4929820053988614,-0.08947371025171673,-0.33410993824361723,-1.0074627079144753
2018-12-31,-0.7376540169816491,-0.5242549518333192,-1.8681890459952746,-0.4068194471955858,-0.9611765816243033
2019-12-31,1.3872480994491507,-0.0061137254494003845,0.5988668487774513,0.6253475587071002,-0.7873036043748298
